mode,episode,agent,success,steps,time_s,steps_to_success,spawn_dist,path_len,net_disp,tortuosity,spl,path_efficiency,min_dist,monotonic_frac,noop_frac,zflip_frac,depth_band_frac,final_dS,final_dtau,nc_file
gradient,0,0,False,376,376.0,,278.1506912282311,316.16867755353616,99.05929550369653,3.1917113476921295,0.0,nan,264.46348149047816,0.47074468085106386,0.0,0.014285714285714285,0.7579787234042553,0.7475720971175761,0.025318823407668223,nonhydro_winter_run026.nc
gradient,0,1,True,376,376.0,376,65.96094892145089,190.67462730673387,104.06379057578496,1.832286006993702,0.3459345894791814,0.3459345894791814,3.2864252945767833,0.7952127659574468,0.0,0.09090909090909091,0.9946808510638298,0.14813478225031673,0.017527197096989466,nonhydro_winter_run026.nc
gradient,1,0,True,86,86.0,86,67.04110777533738,94.60472007516667,75.11963525186219,1.2593873726619491,0.7086444283337126,0.7086444283337126,4.043672485365654,0.9767441860465116,0.0,0.0,0.011627906976744186,0.078174514000807,0.04893649014581136,nonhydro_winter_run015.nc
gradient,1,1,False,86,86.0,,215.98167067237966,67.21344451267689,35.623098942371755,1.8867938643240867,0.0,nan,181.55365588347033,0.7790697674418605,0.0,0.0,0.9883720930232558,1.2201124076245051,0.021836803133276628,nonhydro_winter_run015.nc
gradient,2,0,False,3600,3600.0,,327.7413696405902,3592.124810120261,45.2747332444531,79.34060683969585,0.0,nan,311.8349857115635,0.5055555555555555,0.0,0.0024330900243309003,0.9886111111111111,1.4972577511651863,0.022330633733587346,nonhydro_winter_run026.nc
gradient,2,1,False,3600,3600.0,,96.43099952120069,2481.410611503791,71.80587877773203,34.557206927092295,0.0,nan,86.5381997960706,0.26416666666666666,0.0,0.0020964360587002098,0.9911111111111112,0.6124731622189401,0.0228425949385207,nonhydro_winter_run026.nc
gradient,3,0,False,31,31.0,,57.99633419679201,35.678188838152316,32.35074633421184,1.1028552006054217,0.0,nan,27.93482174805304,1.0,0.0,0.0,0.5806451612903226,0.2817168090120674,0.022628696242225632,nonhydro_winter_run025.nc
gradient,3,1,True,31,31.0,31,20.79846717474991,35.10615916054582,25.04457358245961,1.4017471307689988,0.5924449632793877,0.5924449632793877,2.6873348619854847,0.8387096774193549,0.0,0.0,0.3548387096774194,0.14592230546333695,0.020820251117593336,nonhydro_winter_run025.nc
gradient,4,0,False,3600,3600.0,,376.2072368733783,845.2887573667297,25.364560591770775,33.3255825311231,0.0,nan,375.79457032964694,0.2975,0.0,0.0,0.0,1.1084243345608655,0.21213131301214716,nonhydro_winter_run022.nc
gradient,4,1,False,3600,3600.0,,215.06634493623778,3191.926027325304,32.71311736242073,97.57327594196316,0.0,nan,198.36790557364841,0.38666666666666666,0.0,0.0,0.9897222222222222,1.8653587412747257,0.024402755065100257,nonhydro_winter_run022.nc
gradient,5,0,False,57,57.0,,93.02128327917016,53.91577251576232,26.494521495052236,2.034978156741986,0.0,nan,91.99461937548814,0.43859649122807015,0.0,0.0,0.7368421052631579,0.8199108656763414,0.026115556847644328,nonhydro_winter_run021.nc
gradient,5,1,True,57,57.0,57,37.53441912281046,81.57320569731823,78.24296961176583,1.0425627516705553,0.46013171606966075,0.46013171606966075,2.991131065893376,0.9649122807017544,0.0,0.0,0.14035087719298245,0.14778175125398718,0.021921457053399207,nonhydro_winter_run021.nc
gradient,6,0,True,53,53.0,53,56.88935350855361,85.29749564949152,77.28979845459963,1.1036061337331038,0.6669522132551935,0.6669522132551935,3.3836588236397662,0.8679245283018868,0.0,0.0,0.09433962264150944,0.13361516294344256,0.025084543121499436,nonhydro_winter_run014.nc
