mode,episode,agent,success,steps,time_s,steps_to_success,spawn_dist,path_len,net_disp,tortuosity,spl,path_efficiency,min_dist,monotonic_frac,noop_frac,zflip_frac,depth_band_frac,final_dS,final_dtau,nc_file
greedy,0,0,True,1056,1056.0,1056,278.1506912282311,846.5645567775035,483.5756815257166,1.750635090057735,0.3285640640177846,0.3285640640177846,3.871865717005049,0.7660984848484849,0.0,0.2970106075216972,0.45738636363636365,0.13032045434162853,0.04838663598273574,nonhydro_winter_run026.nc
greedy,0,1,False,1056,1056.0,,65.96094892145089,1018.1166716067997,53.60125127361029,18.994270607784358,0.0,nan,65.96094892145089,0.42803030303030304,0.0,0.1803030303030303,0.0,1.9393182724155693,0.3061290131328178,nonhydro_winter_run026.nc
greedy,1,0,False,3600,3600.0,,67.04110777533738,3660.538896880094,110.61759887115912,33.091831085066985,0.0,nan,1.1581309680797807,0.5677777777777778,0.0,0.6049723756906077,0.4802777777777778,0.7882561844560385,0.04911524986335214,nonhydro_winter_run015.nc
greedy,1,1,False,3600,3600.0,,215.98167067237966,2134.0138854545976,296.81977918626137,7.189594612950149,0.0,nan,214.56250300737722,0.4872222222222222,0.0,0.0005672149744753262,0.03333333333333333,1.8907166411831184,0.10391869647413121,nonhydro_winter_run015.nc
greedy,2,0,False,3600,3600.0,,327.7413696405902,3549.8674092906313,432.7491588909342,8.203060217120617,0.0,nan,17.606842499119846,0.62,0.0,0.45816973723950466,0.04666666666666667,0.28771458950190265,0.18621650565353698,nonhydro_winter_run026.nc
greedy,2,1,False,3600,3600.0,,96.43099952120069,3237.2361211552397,65.38245846415168,49.512303409792594,0.0,nan,93.7095212287477,0.35555555555555557,0.0,0.7790622992935131,0.9913888888888889,0.653666448346776,0.005984915546846881,nonhydro_winter_run026.nc
greedy,3,0,True,164,164.0,164,57.99633419679201,216.649432202677,161.63937290007146,1.3403258643957607,0.26769668217979015,0.26769668217979015,1.8763187709790827,0.7012195121951219,0.0,0.4068965517241379,0.42073170731707316,0.13890504760303912,0.0075350245713917685,nonhydro_winter_run025.nc
greedy,3,1,False,164,164.0,,20.79846717474991,177.1717972310231,53.02211006913913,3.3414701338742794,0.0,nan,10.856261585902232,0.5609756097560976,0.0,0.6073619631901841,0.8048780487804879,0.6515115563556222,0.02488075336752038,nonhydro_winter_run025.nc
greedy,4,0,False,311,311.0,,376.2072368733783,377.18739918854556,254.33331852989636,1.4830435955806867,0.0,nan,153.39931809226658,0.6977491961414791,0.0,0.26666666666666666,0.0,2.2504170574758717,0.1410479693176695,nonhydro_winter_run022.nc
greedy,4,1,True,311,311.0,311,215.06634493623778,521.2565421917186,482.97981602842725,1.0792511920643872,0.41259212600373696,0.41259212600373696,7.611984043294513,0.77491961414791,0.0,0.519774011299435,0.003215434083601286,0.10140912671695901,0.04879321393380398,nonhydro_winter_run022.nc
