mode,episode,agent,success,steps,time_s,steps_to_success,spawn_dist,path_len,net_disp,tortuosity,spl,path_efficiency,min_dist,monotonic_frac,noop_frac,zflip_frac,depth_band_frac,final_dS,final_dtau,nc_file
greedy,0,0,False,50,50.0,,278.1506912282311,65.54813848980774,62.10217935834329,1.0554885378753056,0.0,nan,274.51733752430874,0.68,0.0,0.0,0.0,0.39981821240829163,0.4319605046997729,nonhydro_winter_run026.nc
greedy,0,1,False,50,50.0,,65.96094892145089,38.834525875077844,38.66350847318458,1.0044232251196727,0.0,nan,64.2659040137759,0.34,0.0,0.0,0.0,0.7966883796090443,0.25537922318855777,nonhydro_winter_run026.nc
greedy,1,0,False,50,50.0,,67.04110777533738,83.09570011327759,82.11430930619326,1.01195151996499,0.0,nan,67.04110777533738,0.1,0.0,0.0,0.0,1.328483314035637,0.35123719351152916,nonhydro_winter_run015.nc
greedy,1,1,False,50,50.0,,215.98167067237966,45.80188169844939,44.689342823909215,1.0248949481965746,0.0,nan,208.1745291047997,0.8,0.0,0.0,0.4,1.8598618224105437,0.23888615361071452,nonhydro_winter_run015.nc
stochastic,0,0,False,50,50.0,,278.1506912282311,57.376595026320146,34.74291817015,1.651461594139098,0.0,nan,278.1506912282311,0.2,0.08,0.41935483870967744,0.0,0.25080297127939843,0.49471186792991784,nonhydro_winter_run026.nc
stochastic,0,1,False,50,50.0,,65.96094892145089,51.156297552129615,18.132715064057173,2.8212155417106883,0.0,nan,64.5947997714883,0.42,0.04,0.5,0.7,1.4613123892953013,0.037715441763807034,nonhydro_winter_run026.nc
stochastic,1,0,False,50,50.0,,67.04110777533738,70.48669577678378,56.14270048034317,1.2554917233000353,0.0,nan,67.04110777533738,0.1,0.04,0.4411764705882353,0.0,1.4195989870685395,0.3405681757888662,nonhydro_winter_run015.nc
stochastic,1,1,False,50,50.0,,215.98167067237966,57.02409417410213,29.92871687758672,1.9053304024806634,0.0,nan,210.21860740703028,0.62,0.0,0.47058823529411764,0.0,1.4329521851537592,0.11436719578546883,nonhydro_winter_run015.nc
