mode,episode,agent,success,steps,time_s,steps_to_success,spawn_dist,path_len,net_disp,tortuosity,spl,path_efficiency,min_dist,monotonic_frac,noop_frac,zflip_frac,depth_band_frac,final_dS,final_dtau,nc_file
greedy,0,0,True,485,485.0,485,278.1506912282311,670.6171080176307,482.6644763483963,1.3894063907316987,0.41476826031243813,0.41476826031243813,1.6631065823592175,0.8061855670103093,0.004123711340206186,0.14609571788413098,0.5319587628865979,0.13134402470474527,0.04818793377992203,nonhydro_winter_run026.nc
greedy,0,1,False,485,485.0,,65.96094892145089,475.55431338675174,29.41592567804941,16.1665595226064,0.0,nan,33.17654090021769,0.44536082474226807,0.01443298969072165,0.3306878306878307,0.13195876288659794,1.4581962207720096,0.07931200904096314,nonhydro_winter_run026.nc
greedy,1,0,True,220,220.0,220,67.04110777533738,239.2269275157439,72.63694830563806,3.2934606022975665,0.28024064210298943,0.28024064210298943,1.7376495673015548,0.65,0.00909090909090909,0.07526881720430108,0.33181818181818185,0.11912306476656198,0.04747802848995619,nonhydro_winter_run015.nc
greedy,1,1,False,220,220.0,,215.98167067237966,290.63685778265886,195.18831001128308,1.489007501350149,0.0,nan,68.52114970221679,0.8636363636363636,0.013636363636363636,0.46842105263157896,0.08636363636363636,1.8582114636813643,0.26968714918119085,nonhydro_winter_run015.nc
greedy,2,0,True,422,422.0,422,327.7413696405902,603.7018646782187,426.58711936289234,1.4151900919555358,0.5428861310794209,0.5428861310794209,1.7219978700737135,0.8127962085308057,0.009478672985781991,0.37640449438202245,0.23933649289099526,0.14333480048747305,0.011905025151254467,nonhydro_winter_run026.nc
greedy,2,1,False,422,422.0,,96.43099952120069,469.21333750570983,286.2847189708243,1.6389744419209746,0.0,nan,36.63873884700618,0.6777251184834123,0.0071090047393364926,0.19428571428571428,0.8388625592417062,1.5017282299117838,0.10572325160521112,nonhydro_winter_run026.nc
greedy,3,0,False,19,19.0,,57.99633419679201,19.272085296866713,15.238044179684165,1.2647348353642955,0.0,nan,46.80114392977642,1.0,0.0,0.0,0.0,0.4384802504165748,0.05865135236760999,nonhydro_winter_run025.nc
greedy,3,1,True,19,19.0,19,20.79846717474991,22.171258214663982,22.133267399753283,1.0017164575941067,0.9380824026032896,0.9380824026032896,2.010592961522801,1.0,0.0,0.0,0.05263157894736842,0.10668371295141554,0.04669574862743431,nonhydro_winter_run025.nc
greedy,4,0,False,582,582.0,,376.2072368733783,940.1196315083255,781.3744042337686,1.203161539992119,0.0,nan,34.76862421565672,0.7491408934707904,0.00859106529209622,0.5072765072765073,0.0,1.5225387621267572,0.3044835278114504,nonhydro_winter_run022.nc
greedy,4,1,True,582,582.0,582,215.06634493623778,720.2989166683717,559.2565706152833,1.287957897170368,0.29857929806557676,0.29857929806557676,2.8860688402666375,0.7319587628865979,0.0,0.0600375234521576,0.1134020618556701,0.14228445997120787,0.045839747289063815,nonhydro_winter_run022.nc
