mode,episode,agent,success,steps,time_s,steps_to_success,spawn_dist,path_len,net_disp,tortuosity,spl,path_efficiency,min_dist,monotonic_frac,noop_frac,zflip_frac,depth_band_frac,final_dS,final_dtau,nc_file
greedy,0,0,False,193,193.0,,278.1506912282311,212.21787410442167,91.11880959136084,2.3290237773754066,0.0,nan,278.1506912282311,0.29533678756476683,0.0,0.07407407407407407,0.3160621761658031,0.7452319763696948,0.05372350549619731,nonhydro_winter_run026.nc
greedy,0,1,True,193,193.0,193,65.96094892145089,244.0039459304069,92.63554363218203,2.6340207696005655,0.2703273861819588,0.2703273861819588,1.6936682535859033,0.7305699481865285,0.0,0.13548387096774195,0.0051813471502590676,0.028505834475822667,0.04863762403753835,nonhydro_winter_run026.nc
greedy,1,0,False,3600,3600.0,,67.04110777533738,3268.2912578559963,134.7240860500953,24.2591458860647,0.0,nan,28.979841291595353,0.46055555555555555,0.0,0.4684459271615235,0.10444444444444445,0.6696578502463453,0.07767068718601233,nonhydro_winter_run015.nc
greedy,1,1,False,3600,3600.0,,215.98167067237966,3424.987412693358,102.0543771442903,33.560416598799236,0.0,nan,215.98167067237966,0.5280555555555555,0.002777777777777778,0.47447073474470736,0.05,1.80226188138937,0.128979019088713,nonhydro_winter_run015.nc
greedy,2,0,False,3600,3600.0,,327.7413696405902,3115.6288278388492,50.24750296256193,62.00564494041069,0.0,nan,296.9053627526494,0.33555555555555555,0.0,0.4573304157549234,0.09194444444444444,1.6461468790534113,0.09759662551267634,nonhydro_winter_run026.nc
greedy,2,1,False,3600,3600.0,,96.43099952120069,3453.79421234902,232.79978874654265,14.83589925465649,0.0,nan,5.466825252314479,0.5911111111111111,0.0033333333333333335,0.6389011962782455,0.04138888888888889,0.9091409158852457,0.17995915696464848,nonhydro_winter_run026.nc
greedy,3,0,True,371,371.0,371,57.99633419679201,377.06100374913194,136.96861196523795,2.7529008167566773,0.15381154142203052,0.15381154142203052,2.569379004669444,0.5444743935309974,0.0,0.3622291021671827,0.6172506738544474,0.04460377000221882,0.047537796438888114,nonhydro_winter_run025.nc
greedy,3,1,False,371,371.0,,20.79846717474991,367.72228924050876,34.09004061542037,10.786795281029157,0.0,nan,6.903929731563014,0.5768194070080862,0.0,0.6657534246575343,0.10512129380053908,0.3761304788990998,0.10744477004639652,nonhydro_winter_run025.nc
greedy,4,0,False,617,617.0,,376.2072368733783,750.6363306368946,410.38011046145795,1.8291245396684321,0.0,nan,2.753934657109456,0.8589951377633711,0.0,0.5350877192982456,0.39546191247974066,0.2831425450313034,0.03056785357483749,nonhydro_winter_run022.nc
greedy,4,1,True,617,617.0,617,215.06634493623778,794.8964807536456,547.2238829272659,1.4525982976135914,0.2705589345826921,0.2705589345826921,2.548161681106807,0.6952998379254457,0.029173419773095625,0.3403693931398417,0.24473257698541329,0.08973001504787703,0.046933202840952704,nonhydro_winter_run022.nc
greedy,5,0,False,100,100.0,,93.02128327917016,107.71043791403669,67.59877906172197,1.5933784516387528,0.0,nan,93.02128327917016,0.06,0.0,0.5806451612903226,0.0,1.5226744267147865,0.18245475298207015,nonhydro_winter_run021.nc
greedy,5,1,True,100,100.0,100,37.53441912281046,118.10846901900437,66.68955004670897,1.771019131727263,0.3177961702032641,0.3177961702032641,3.1947054738703238,0.64,0.0,0.2727272727272727,0.18,0.13475971087770944,0.045773484789172425,nonhydro_winter_run021.nc
greedy,6,0,False,243,243.0,,56.88935350855361,410.1139576461584,349.2172275313021,1.1743806585526992,0.0,nan,2.4520272223848902,0.4773662551440329,0.0,0.5206611570247934,0.34156378600823045,1.417615267036318,0.09176819830547112,nonhydro_winter_run014.nc
greedy,6,1,True,243,243.0,243,128.90647192958957,371.644340709115,283.70982631200184,1.3099452547703077,0.34685439224940146,0.34685439224940146,2.2407875453065675,0.6790123456790124,0.0,0.7631578947368421,0.3292181069958848,0.13461361794773552,0.04545236067000924,nonhydro_winter_run014.nc
greedy,7,0,False,264,264.0,,649.9576085366115,310.0410461547078,252.57457168891924,1.2275228027965004,0.0,nan,491.3766704780014,0.8712121212121212,0.2159090909090909,0.013422818791946308,0.01893939393939394,2.8756156096859655,0.22498243677062624,nonhydro_winter_run029.nc
greedy,7,1,True,264,264.0,264,65.07770211623993,310.1091946969948,83.23585522190334,3.725668389785346,0.20985415211511815,0.20985415211511815,5.612127658159351,0.6590909090909091,0.0,0.28634361233480177,0.5568181818181818,0.08048581603296157,0.025493008452288746,nonhydro_winter_run029.nc
greedy,8,0,True,85,85.0,85,54.922255120373855,87.67995037173256,68.28652749042026,1.284000718648828,0.6263946875827662,0.6263946875827662,4.781132098201387,0.8823529411764706,0.0,0.09523809523809523,0.2,0.13680925080956285,0.03458234351855538,nonhydro_winter_run022.nc
greedy,8,1,False,85,85.0,,45.484082651021815,142.43876851602292,130.16746447492082,1.0942732048335042,0.0,nan,3.360039574743695,0.6941176470588235,0.0,0.35714285714285715,0.2823529411764706,0.5179349742951302,0.017899931868742613,nonhydro_winter_run022.nc
greedy,9,0,True,367,367.0,367,123.56788008557244,460.1465712901995,262.13471526107674,1.7553820402303835,0.26854026041985257,0.26854026041985257,2.3099365058552066,0.667574931880109,0.0,0.2841225626740947,0.0027247956403269754,0.1474637084683934,0.047968189292582175,nonhydro_winter_run013.nc
greedy,9,1,False,367,367.0,,486.9698892677832,223.18353469274348,140.73846158950417,1.5858034269531038,0.0,nan,486.3475055923278,0.17166212534059946,0.0,0.0,0.2779291553133515,2.7653934904633104,0.005610254094282507,nonhydro_winter_run013.nc
greedy,10,0,True,812,812.0,812,328.4239012945333,898.3776192221234,381.20141426654857,2.356700645905653,0.365574446944599,0.365574446944599,4.844350900974632,0.7647783251231527,0.0,0.3910355486862442,0.054187192118226604,0.1408823754353321,0.020948937081185726,nonhydro_winter_run024.nc
greedy,10,1,False,812,812.0,,188.05555011905793,819.1300541225353,251.52691411138807,3.2566298402555267,0.0,nan,78.96022719762242,0.5369458128078818,0.0,0.6621067031463749,0.7463054187192119,0.5031864733798628,0.039474136269138205,nonhydro_winter_run024.nc
greedy,11,0,True,135,135.0,135,55.705453423348295,175.4270183456988,132.8963407576403,1.3200289590036238,0.3175420408364599,0.3175420408364599,0.9022759922615915,0.8444444444444444,0.0,0.19402985074626866,0.08888888888888889,0.12412626670877813,0.002546127164293477,nonhydro_winter_run005.nc
greedy,11,1,False,135,135.0,,46.089605378138195,129.5361492012179,58.12923821028798,2.2284164250116048,0.0,nan,8.33613239123048,0.7037037037037037,0.0,0.29850746268656714,0.4888888888888889,0.45633791274892843,0.00035327512746141654,nonhydro_winter_run005.nc
greedy,12,0,True,672,672.0,672,27.562947728923138,562.5737198865996,62.127967414886186,9.055080075769613,0.04899437487851213,0.04899437487851213,3.9277289604875643,0.5863095238095238,0.0,0.5424739195230999,0.0818452380952381,0.1281778553589561,0.04672790704351859,nonhydro_winter_run019.nc
